ID,Name,City,State,Score,Rank
IR-O-U-0747,Chandigarh University,Mohali,Punjab,44.62,77
IR-O-U-0374,Dr. B. R. Ambedkar National Institute of Technology,Jalandhar,Punjab,44.53,78
IR-O-I-1486,Sri Ramachandra Institute of Higher Education and Research,Chennai,Tamil Nadu,44.4,79
IR-O-I-1110,Dr. D. Y. Patil Vidyapeeth,Pune,Maharashtra,44.19,80
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,43.95,81
IR-O-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,43.93,82
IR-O-U-0463,Madurai Kamaraj University,Madurai,Tamil Nadu,43.75,83
IR-O-U-0642,Shiv Nadar University,Dadri,Uttar Pradesh,43.6,84
IR-O-U-0376,Guru Nanak Dev University,Amritsar,Punjab,43.21,85
IR-O-C-37013,PSG College of Technology,Coimbatore,Tamil Nadu,43.14,86
IR-O-U-0369,Pondicherry University,Puducherry,Pondicherry,43.1,87
IR-O-U-0530,Motilal Nehru National Institute of Technology,Prayagraj,Uttar Pradesh,43.04,88
IR-O-C-16604,Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,42.94,89
IR-O-U-0341,North Eastern Hill University,Shillong,Meghalaya,42.79,90
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,42.79,90
IR-O-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,42.78,92
IR-O-U-0055,National Institute of Technology Silchar,Silchar,Assam,42.68,93
IR-O-N-10,SVKM`s Narsee Monjee Institute of Management Studies,Mumbai,Maharashtra,42.56,94
IR-O-U-0251,Calicut University,Malappuram,Kerala,42.42,95
IR-O-U-0318,Mumbai University,Mumbai,Maharashtra,41.79,96
IR-O-U-0589,Visva Bharati,Santiniketan,West Bengal,41.74,97
IR-O-U-0149,Sardar Vallabhbhai National Institute of Technology,Surat,Gujarat,41.72,98
IR-O-U-0099,Guru Gobind Singh Indraprastha University,New Delhi,Delhi,41.43,99
IR-O-U-0295,Datta Meghe Institute of Medical Sciences,Wardha,Maharashtra,41.1,100
